ROUGE-Type,Task Name,System Name,Avg_Recall,Avg_Precision,Avg_F-Score,Num Reference Summaries
ROUGE-1+StopWordRemoval+Stemming,TASK2,189,0.06393,0.39394,0.11001,3
ROUGE-1+StopWordRemoval+Stemming,TASK2,190,0.21676,0.1982,0.20706,3
ROUGE-1+StopWordRemoval+Stemming,TASK2,191,0.06931,0.25926,0.10937,3
ROUGE-1+StopWordRemoval+Stemming,TASK2,192,0.1041,0.25926,0.14855,3
ROUGE-1+StopWordRemoval+Stemming,TASK2,193,0.03956,0.17778,0.06472,3
ROUGE-1+StopWordRemoval+Stemming,TASK2,194,0.0535,0.14667,0.0784,3
ROUGE-1+StopWordRemoval+Stemming,TASK2,195,0.07403,0.20833,0.10924,3
ROUGE-1+StopWordRemoval+Stemming,TASK2,196,0.0158,0.07692,0.02622,3
ROUGE-1+StopWordRemoval+Stemming,TASK2,197,0.03512,0.31548,0.0632,3
ROUGE-1+StopWordRemoval+Stemming,TASK2,198,0.02057,0.07843,0.0326,3
ROUGE-1+StopWordRemoval+Stemming,TASK2,199,0.00982,0.05128,0.01648,3
ROUGE-1+StopWordRemoval+Stemming,TASK2,200,0.04555,0.17647,0.0724,3
ROUGE-1+StopWordRemoval+Stemming,TASK2,201,0.04082,0.38095,0.07374,3
ROUGE-1+StopWordRemoval+Stemming,TASK2,202,0.00538,0.06667,0.00995,3
ROUGE-1+StopWordRemoval+Stemming,TASK2,203,0.00538,0.05556,0.0098,3
ROUGE-1+StopWordRemoval+Stemming,TASK2,204,0.08066,0.19048,0.11333,3
ROUGE-1+StopWordRemoval+Stemming,TASK2,205,0.05949,0.28571,0.09847,3
ROUGE-1+StopWordRemoval+Stemming,TASK2,206,0.10887,0.34921,0.16599,3
ROUGE-1+StopWordRemoval+Stemming,TASK2,207,0.09428,0.33333,0.14698,3
ROUGE-1+StopWordRemoval+Stemming,TASK2,208,0.03512,0.17949,0.05874,3
ROUGE-1+StopWordRemoval+Stemming,TASK2,209,0.03447,0.23333,0.06006,3
ROUGE-1+StopWordRemoval+Stemming,TASK2,210,0.03386,0.21212,0.0584,3
ROUGE-1+StopWordRemoval+Stemming,TASK2,211,0.17752,0.1875,0.18238,3
ROUGE-1+StopWordRemoval+Stemming,TASK2,212,0.03831,0.2399,0.06606,3
ROUGE-1+StopWordRemoval+Stemming,TASK2,213,0.0478,0.27778,0.08157,3
ROUGE-1+StopWordRemoval+Stemming,TASK2,214,0.04873,0.30303,0.08396,3
ROUGE-1+StopWordRemoval+Stemming,TASK2,215,0.16396,0.36667,0.22659,3
ROUGE-1+StopWordRemoval+Stemming,TASK2,216,0.09877,0.47619,0.1636,3
ROUGE-1+StopWordRemoval+Stemming,TASK2,217,0.05949,0.26111,0.0969,3
ROUGE-1+StopWordRemoval+Stemming,TASK2,218,0.04966,0.27778,0.08426,3
